user_id,age,country,course_type,course_category,course_price,time_spent_hours,assignments_completed,quiz_avg_score,login_frequency_per_week,device_type,last_login_days_ago,forum_posts,video_completion_percent,certificate_attempted,payment_type,course_completed
1,32,Canada,Instructor-led Online,Risk,1195,21,6,82,6,Tablet,10,23,99,1,Corporate,0
2,19,UK,Classroom Training Live Session,Investment,905,130,11,20,0,Desktop,21,43,88,0,Individual,0
3,59,UK,Self-paced,Investment,799,15,13,61,6,Desktop,50,43,54,1,Corporate,0
4,54,USA,Classroom Training Live Session,Risk,746,21,8,38,1,Mobile,59,13,8,1,Individual,0
5,24,India,Self-paced,Investment,608,8,14,34,5,Mobile,35,49,3,1,Corporate,0
6,46,India,Classroom Training Live Session,Risk,501,44,1,73,5,Desktop,30,47,14,1,Corporate,0
7,57,Canada,Instructor-led Online,Finance,819,82,14,52,1,Mobile,59,44,40,0,Individual,0
8,42,Australia,Instructor-led Online,Risk,620,88,0,7,6,Tablet,50,16,7,0,Individual,0
9,22,USA,Classroom Training Live Session,Accounting,330,41,11,6,0,Desktop,32,47,22,1,Corporate,0
10,57,Australia,Self-paced,Accounting,1060,101,14,77,2,Mobile,4,25,13,0,Individual,1
11,32,USA,Classroom Training Live Session,Accounting,991,179,14,95,6,Mobile,51,31,3,1,Individual,1
12,46,Australia,Self-paced,Investment,624,160,6,58,2,Desktop,27,1,41,0,Corporate,1
13,23,USA,Instructor-led Online,Investment,1151,108,11,83,5,Desktop,10,27,88,0,Corporate,1
14,44,USA,Instructor-led Online,Accounting,732,116,12,2,6,Desktop,7,26,8,1,Individual,0
15,59,USA,Classroom Training Live Session,Investment,763,59,5,31,0,Mobile,48,11,38,1,Individual,0
16,34,USA,Instructor-led Online,Risk,212,2,1,91,5,Tablet,36,31,96,0,Individual,0
17,43,India,Instructor-led Online,Investment,346,68,6,74,2,Mobile,37,23,68,1,Corporate,0
18,33,UK,Self-paced,Finance,286,70,12,2,3,Tablet,35,18,89,0,Individual,0
19,58,UK,Self-paced,Finance,650,82,7,0,2,Mobile,24,49,22,0,Corporate,0
20,24,India,Self-paced,Investment,243,90,8,59,0,Desktop,0,47,11,0,Individual,0
21,26,UK,Self-paced,Finance,915,131,3,23,5,Mobile,23,10,71,1,Corporate,1
22,52,Canada,Classroom Training Live Session,Investment,609,99,8,92,1,Desktop,17,1,53,0,Corporate,0
23,53,Australia,Instructor-led Online,Finance,900,142,4,47,3,Tablet,2,16,32,1,Corporate,1
24,39,,,,1145,158,5,50,5,,26,33,20,1,,1
25,50,Canada,Self-paced,Finance,1119,61,2,3,2,Mobile,16,43,91,1,Individual,0
26,52,Australia,Classroom Training Live Session,Investment,1160,24,12,45,4,Tablet,34,32,62,0,Individual,0
27,20,USA,Self-paced,Investment,117,25,9,94,5,Desktop,2,39,45,1,Corporate,0
28,44,India,Self-paced,Accounting,884,104,0,8,2,Desktop,47,38,92,1,Individual,0
29,42,India,Self-paced,Investment,624,60,9,6,0,Mobile,19,0,7,1,Corporate,0
30,40,Canada,Self-paced,Risk,933,32,6,62,5,Tablet,24,21,57,1,Corporate,0
31,59,USA,Self-paced,Accounting,1177,101,0,7,4,Mobile,38,3,5,0,Corporate,0
32,52,Canada,Classroom Training Live Session,Risk,1035,52,12,29,2,Mobile,55,18,91,1,Individual,0
33,43,India,Instructor-led Online,Finance,890,127,8,11,4,Mobile,57,0,33,1,Corporate,1
34,18,USA,Self-paced,Investment,803,69,5,92,6,Tablet,11,25,15,0,Individual,0
35,31,USA,Instructor-led Online,Investment,1192,47,0,93,5,Desktop,51,4,75,1,Corporate,0
36,56,India,Instructor-led Online,Investment,456,23,9,9,5,Mobile,35,33,51,0,Corporate,0
37,49,India,Self-paced,Finance,1115,69,12,3,6,Desktop,48,27,31,0,Corporate,0
38,52,,,,1056,179,10,11,2,,32,39,73,0,,1
39,29,Australia,Instructor-led Online,Risk,598,35,6,80,1,Mobile,25,9,89,1,Corporate,0
40,24,UK,Instructor-led Online,Investment,925,114,12,74,4,Mobile,20,35,9,0,Individual,1
41,52,UK,Instructor-led Online,Investment,1077,96,7,22,5,Mobile,11,48,54,0,Individual,0
42,58,USA,Classroom Training Live Session,Accounting,161,84,8,85,4,Tablet,18,48,99,1,Individual,1
43,29,USA,Classroom Training Live Session,Finance,554,28,13,94,3,Tablet,57,46,15,0,Individual,1
44,38,UK,Instructor-led Online,Investment,668,39,12,52,1,Desktop,38,13,94,1,Individual,0
45,46,UK,Self-paced,Risk,757,76,8,73,1,Mobile,37,6,45,0,Corporate,0
46,44,India,Instructor-led Online,Accounting,128,165,5,82,4,Mobile,21,16,70,0,Individual,1
47,48,Canada,Classroom Training Live Session,Risk,544,108,5,38,2,Desktop,25,18,38,1,Individual,0
48,45,Australia,Instructor-led Online,Accounting,1181,148,11,71,4,Tablet,40,38,0,0,Individual,1
49,42,Canada,Classroom Training Live Session,Investment,1028,166,4,5,1,Mobile,31,44,60,0,Individual,0
50,54,Australia,Self-paced,Investment,146,49,13,14,6,Mobile,52,2,15,0,Individual,0
51,49,UK,Classroom Training Live Session,Investment,1067,102,11,23,3,Mobile,7,27,35,1,Corporate,0
52,45,India,Classroom Training Live Session,Investment,968,41,3,63,2,Desktop,16,8,32,0,Corporate,0
53,30,Australia,Instructor-led Online,Accounting,489,82,2,68,6,Mobile,1,9,55,1,Corporate,0
54,22,UK,Instructor-led Online,Risk,1115,33,5,64,1,Tablet,48,10,84,1,Individual,0
55,44,USA,Classroom Training Physical,Finance,204,99,14,0,4,Tablet,5,27,80,0,Individual,1
56,20,Australia,Classroom Training Live Session,Finance,1146,53,4,73,1,Tablet,16,20,77,0,Corporate,0
57,30,USA,Classroom Training Live Session,Investment,548,113,7,31,1,Tablet,7,38,25,1,Corporate,0
58,29,UK,Self-paced,Finance,1177,133,13,93,2,Mobile,16,47,46,0,Individual,1
59,31,Australia,Instructor-led Online,Accounting,174,179,6,37,3,Desktop,37,49,97,1,Corporate,0
60,51,UK,Self-paced,Investment,348,166,0,87,6,Desktop,54,41,50,0,Individual,1
61,34,Australia,Classroom Training Live Session,Accounting,884,84,7,68,1,Desktop,52,1,76,1,Individual,0
62,40,UK,Self-paced,Risk,947,95,10,15,3,Mobile,2,31,66,0,Individual,0
63,36,India,Instructor-led Online,Finance,1128,92,9,60,5,Mobile,5,0,4,0,Corporate,1
64,51,India,Classroom Training Live Session,Finance,1196,26,8,46,0,Desktop,46,29,62,1,Individual,0
65,53,USA,Classroom Training Physical,Finance,107,113,2,51,6,Tablet,55,21,13,1,Corporate,1
66,43,,,,798,56,2,6,2,,22,45,17,1,,0
67,32,UK,Self-paced,Investment,584,28,9,38,0,Mobile,38,21,89,1,Corporate,0
68,30,USA,Instructor-led Online,Investment,124,68,9,66,0,Mobile,17,46,99,0,Corporate,0
69,25,India,Self-paced,Investment,847,83,9,40,4,Desktop,51,25,63,1,Individual,0
70,23,UK,Instructor-led Online,Finance,761,21,5,69,6,Desktop,10,29,94,1,Individual,0
